DATAFLOW,LAST UPDATE,freq,frequenc,isced97,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,AT,2007-01-01,59.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,BE,2007-01-01,37.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,BG,2007-01-01,13.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,CY,2007-01-01,30.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,CZ,2007-01-01,41.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,EE,2007-01-01,57.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,EL,2007-01-01,16.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,ES,2007-01-01,39.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,FI,2007-01-01,86.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,HR,2007-01-01,38.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,HU,2007-01-01,43.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,LT,2007-01-01,39.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,LV,2007-01-01,45.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,MT,2007-01-01,27.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,PL,2007-01-01,28.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,PT,2007-01-01,36.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,RO,2007-01-01,9.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,SI,2007-01-01,56.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,SK,2007-01-01,42.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED0-2,PC,TR,2007-01-01,28.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,AT,2007-01-01,74.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,BE,2007-01-01,43.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,BG,2007-01-01,50.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,CY,2007-01-01,43.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,CZ,2007-01-01,54.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,EE,2007-01-01,69.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,EL,2007-01-01,33.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,ES,2007-01-01,57.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,FI,2007-01-01,86.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,HR,2007-01-01,64.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,HU,2007-01-01,67.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,LT,2007-01-01,58.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,LV,2007-01-01,59.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,MT,2007-01-01,38.0,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,PL,2007-01-01,46.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,PT,2007-01-01,55.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,RO,2007-01-01,34.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,SI,2007-01-01,68.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,SK,2007-01-01,67.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED3_4,PC,TR,2007-01-01,64.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,AT,2007-01-01,75.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,BE,2007-01-01,45.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,BG,2007-01-01,64.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,CY,2007-01-01,44.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,CZ,2007-01-01,59.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,EE,2007-01-01,77.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,EL,2007-01-01,49.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,ES,2007-01-01,61.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,FI,2007-01-01,91.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,HR,2007-01-01,72.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,HU,2007-01-01,79.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,LT,2007-01-01,76.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,LV,2007-01-01,74.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,MT,2007-01-01,50.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,PL,2007-01-01,58.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,PT,2007-01-01,52.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,RO,2007-01-01,67.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,SI,2007-01-01,74.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,SK,2007-01-01,75.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,ED5_6,PC,TR,2007-01-01,82.2,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,AT,2007-01-01,71.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,BE,2007-01-01,42.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,BG,2007-01-01,44.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,CY,2007-01-01,39.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,CZ,2007-01-01,54.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,EE,2007-01-01,70.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,EL,2007-01-01,30.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,ES,2007-01-01,49.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,FI,2007-01-01,88.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,HR,2007-01-01,57.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,HU,2007-01-01,63.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,LT,2007-01-01,64.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,LV,2007-01-01,61.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,MT,2007-01-01,33.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,PL,2007-01-01,46.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,PT,2007-01-01,40.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,RO,2007-01-01,33.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,SI,2007-01-01,67.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,SK,2007-01-01,68.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,DAY,TOTAL,PC,TR,2007-01-01,40.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,AT,2007-01-01,94.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,BE,2007-01-01,83.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,BG,2007-01-01,66.2,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,CY,2007-01-01,84.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,CZ,2007-01-01,92.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,DE,2007-01-01,85.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,EE,2007-01-01,97.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,EL,2007-01-01,74.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,ES,2007-01-01,82.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,FI,2007-01-01,98.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,HR,2007-01-01,89.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,HU,2007-01-01,91.2,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,LT,2007-01-01,93.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,LV,2007-01-01,92.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,MT,2007-01-01,76.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,PL,2007-01-01,94.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,PT,2007-01-01,83.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,RO,2007-01-01,79.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,SI,2007-01-01,94.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,SK,2007-01-01,95.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED0-2,PC,TR,2007-01-01,68.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,AT,2007-01-01,97.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,BE,2007-01-01,89.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,BG,2007-01-01,95.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,CY,2007-01-01,92.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,CZ,2007-01-01,96.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,DE,2007-01-01,92.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,EE,2007-01-01,98.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,EL,2007-01-01,91.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,ES,2007-01-01,93.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,FI,2007-01-01,99.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,HR,2007-01-01,97.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,HU,2007-01-01,98.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,LT,2007-01-01,98.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,LV,2007-01-01,97.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,MT,2007-01-01,91.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,PL,2007-01-01,98.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,PT,2007-01-01,94.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,RO,2007-01-01,96.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,SI,2007-01-01,97.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,SK,2007-01-01,99.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED3_4,PC,TR,2007-01-01,95.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,AT,2007-01-01,97.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,BE,2007-01-01,93.2,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,BG,2007-01-01,97.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,CY,2007-01-01,93.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,CZ,2007-01-01,97.2,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,DE,2007-01-01,95.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,EE,2007-01-01,98.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,EL,2007-01-01,95.2,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,ES,2007-01-01,94.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,FI,2007-01-01,99.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,HR,2007-01-01,97.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,HU,2007-01-01,98.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,LT,2007-01-01,99.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,LV,2007-01-01,98.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,MT,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,PL,2007-01-01,98.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,PT,2007-01-01,97.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,RO,2007-01-01,99.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,SI,2007-01-01,98.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,SK,2007-01-01,99.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,TR,2007-01-01,98.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,AT,2007-01-01,97.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,BE,2007-01-01,88.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,BG,2007-01-01,89.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,CY,2007-01-01,90.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,CZ,2007-01-01,96.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,DE,2007-01-01,92.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,EE,2007-01-01,98.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,EL,2007-01-01,85.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,ES,2007-01-01,88.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,FI,2007-01-01,99.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,HR,2007-01-01,94.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,HU,2007-01-01,96.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,LT,2007-01-01,98.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,LV,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,MT,2007-01-01,82.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,PL,2007-01-01,97.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,PT,2007-01-01,86.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,RO,2007-01-01,92.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,SI,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,SK,2007-01-01,99.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,TR,2007-01-01,76.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,AT,2007-01-01,3.1,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,BE,2007-01-01,7.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,BG,2007-01-01,10.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,CY,2007-01-01,9.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,CZ,2007-01-01,13.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,EE,2007-01-01,5.2,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,EL,2007-01-01,11.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,ES,2007-01-01,8.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,FI,2007-01-01,,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,HR,2007-01-01,10.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,HU,2007-01-01,7.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,LT,2007-01-01,7.3,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,LV,2007-01-01,9.4,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,MT,2007-01-01,7.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,PL,2007-01-01,11.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,PT,2007-01-01,8.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,RO,2007-01-01,17.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,SI,2007-01-01,4.7,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,SK,2007-01-01,,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,TR,2007-01-01,8.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED3_4,PC,AT,2007-01-01,2.0,u,
