DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2010-01-01,81901.955,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2010-01-01,8914.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2010-01-01,36413.463,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2010-01-01,3041.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2011-01-01,79217.475,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2011-01-01,8550.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2011-01-01,33273.384,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2011-01-01,2547.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2012-01-01,75995.589,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2012-01-01,7329.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2012-01-01,34251.961,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2012-01-01,2357.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2013-01-01,72711.548,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2013-01-01,5758.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2013-01-01,31956.298,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2013-01-01,1582.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2014-01-01,73735.44,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2014-01-01,6506.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2014-01-01,32988.113,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2014-01-01,2336.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2015-01-01,71753.114,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2015-01-01,5942.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2015-01-01,30928.213,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2015-01-01,2254.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2016-01-01,71840.778,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2016-01-01,5557.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2016-01-01,30406.146,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2016-01-01,2368.0,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2017-01-01,77189.836,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2017-01-01,7065.027,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2017-01-01,34442.687,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2017-01-01,4053.573,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2018-01-01,73640.404,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2018-01-01,6343.495,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2018-01-01,29609.368,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2018-01-01,3965.22,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2019-01-01,72571.05,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2019-01-01,6266.931,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2019-01-01,28760.138,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2019-01-01,3622.228,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2020-01-01,72404.005,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2020-01-01,6064.547,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2020-01-01,30176.381,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2020-01-01,3209.294,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2021-01-01,75375.33,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2021-01-01,5868.767,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2021-01-01,32691.241,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2021-01-01,2328.867,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,EU27_2020,2022-01-01,65728.653,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4000,THS_T,IT,2022-01-01,5855.741,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,EU27_2020,2022-01-01,28247.817,,
ESTAT:NRG_CB_OIL(1.0),25/03/26 11:00:00,A,FC_NE,O4640,THS_T,IT,2022-01-01,2918.985,,
